Code INSEE;Code Postal;Commune;Département;Région;Statut;Altitude Moyenne;Superficie;Population;geo_point_2d;geo_shape;ID Geofla;Code Commune;Code Canton;Code Arrondissement;Code Département;Code Région
95176;95240;CORMEILLES-EN-PARISIS;VAL-D'OISE;ILE-DE-FRANCE;Chef-lieu canton;88.0;849.0;22.6;48.9682249677, 2.19921349468;"{""type"": ""Polygon"", ""coordinates"": [[[2.20585834678071, 48.94974074221644], [2.173141489791934, 48.95329658127529], [2.178105163939221, 48.95976960775183], [2.185514395247173, 48.963660098272975], [2.183437886450421, 48.9793473014932], [2.204245167505613, 48.99002646729428], [2.205149359876183, 48.98362074710023], [2.228754239386479, 48.972875751746535], [2.225735542248568, 48.971030787219796], [2.20672620015295, 48.95998035486502], [2.20585834678071, 48.94974074221644]]]}";34995;176;05;1;95;11
95355;95420;MAGNY-EN-VEXIN;VAL-D'OISE;ILE-DE-FRANCE;Chef-lieu canton;115.0;1446.0;5.7;49.158617564, 1.81039322129;"{""type"": ""Polygon"", ""coordinates"": [[[1.836024359371009, 49.14035832363404], [1.813245452905432, 49.14100805227383], [1.799934556603381, 49.14587549811144], [1.786956333494276, 49.14228354067717], [1.783691507672081, 49.144741326721935], [1.773945521898503, 49.15230345754464], [1.773873020368069, 49.16173504501992], [1.788763150181091, 49.16113946014773], [1.796760274822691, 49.16510403746091], [1.797916732733367, 49.1784860330784], [1.793582141032289, 49.18027695621718], [1.797019180092512, 49.18523865451633], [1.816065628579586, 49.17592341081449], [1.830822968541298, 49.17711059304666], [1.836499473417739, 49.17168077247376], [1.834069124750297, 49.16512042698516], [1.840665403359292, 49.14302871470745], [1.836024359371009, 49.14035832363404]]]}";100;355;16;3;95;11
78597;78200;SOINDRES;YVELINES;ILE-DE-FRANCE;Commune simple;122.0;520.0;0.6;48.9535424225, 1.67168350661;"{""type"": ""Polygon"", ""coordinates"": [[[1.656616023157106, 48.93978039303795], [1.659033617153145, 48.94556349718774], [1.653432699877228, 48.95094193480994], [1.648473672413872, 48.951021035671516], [1.649356295700901, 48.954367658091506], [1.661278587244103, 48.960194373317094], [1.665907147554125, 48.96983313708424], [1.67492560579841, 48.96169500812128], [1.699335970963946, 48.95775328396804], [1.694827621004399, 48.9523710714941], [1.665150680486089, 48.940775130832996], [1.656616023157106, 48.93978039303795]]]}";33225;597;07;1;78;11
77177;77220;FAVIERES;SEINE-ET-MARNE;ILE-DE-FRANCE;Commune simple;113.0;2835.0;1.1;48.7803198731, 2.76799621912;"{""type"": ""Polygon"", ""coordinates"": [[[2.795820787556884, 48.75704350874759], [2.790880112622791, 48.75095497732986], [2.771509983420906, 48.74826622545236], [2.757372006336728, 48.752681417265336], [2.750921046160523, 48.76201294727727], [2.742100718537976, 48.76573572960854], [2.737366128648389, 48.77113977819066], [2.728699518997861, 48.77360273589924], [2.730177870743943, 48.779802880808255], [2.734920917991485, 48.781072639479106], [2.728018127894976, 48.797299932155525], [2.733614557812022, 48.802375997994616], [2.7478025139789, 48.80490701728267], [2.75095598459277, 48.81457278741788], [2.755477896918434, 48.814411242598005], [2.763204155816012, 48.80733083055592], [2.776908005866563, 48.8090839672282], [2.796234512083132, 48.7939371372105], [2.803116527104884, 48.78107855950555], [2.813011252455826, 48.77324280699761], [2.801960100311097, 48.76664144259377], [2.795820787556884, 48.75704350874759]]]}";25371;177;28;2;77;11
95102;95640;BREANCON;VAL-D'OISE;ILE-DE-FRANCE;Commune simple;128.0;1067.0;0.4;49.1493481193, 2.02307108872;"{""type"": ""Polygon"", ""coordinates"": [[[2.030082450276473, 49.130902318950355], [2.011322436728187, 49.131720723429524], [2.000269375996585, 49.135738545711845], [2.003901537293638, 49.13783672154356], [2.001783968527138, 49.15029935116749], [1.995860194305206, 49.15889980308915], [2.012397486532532, 49.16589696194823], [2.035681569282525, 49.1613562873271], [2.04924248261183, 49.16275887944943], [2.049501022419505, 49.156143341079606], [2.0585465456801, 49.153247288888146], [2.041246622362162, 49.145872687285866], [2.030082450276473, 49.130902318950355]]]}";21239;102;17;3;95;11
78163;78910;CIVRY-LA-FORET;YVELINES;ILE-DE-FRANCE;Commune simple;125.0;934.0;0.3;48.8642006092, 1.61682938801;"{""type"": ""Polygon"", ""coordinates"": [[[1.620389342136468, 48.84478489589563], [1.616503080214231, 48.846925719295015], [1.606811058452665, 48.844969326668085], [1.598649933852554, 48.848948601337895], [1.595613104228149, 48.85138652834062], [1.599849788582662, 48.86668203782165], [1.595922492231647, 48.87227559417207], [1.607043360072044, 48.87706466692711], [1.612194404063738, 48.87668377118409], [1.623908099774654, 48.88338490622661], [1.63680542466386, 48.87833372505608], [1.642774220874628, 48.87063938826626], [1.630311264192674, 48.860306653088344], [1.623661860745005, 48.84884320321232], [1.620389342136468, 48.84478489589563]]]}";31645;163;08;1;78;11
77460;77440;TANCROU;SEINE-ET-MARNE;ILE-DE-FRANCE;Commune simple;132.0;1215.0;0.4;49.0038979102, 3.07986260706;"{""type"": ""Polygon"", ""coordinates"": [[[3.127158638085069, 48.99677012587309], [3.095399811799554, 48.9968265521576], [3.081167531192224, 48.99276361608444], [3.061809640052, 48.99680359426063], [3.040886137378179, 48.994996152215506], [3.035966546137788, 48.99479990220667], [3.031790813424159, 49.00426068934113], [3.035182013333689, 49.00667858381639], [3.052414670578373, 49.01727376710113], [3.062842908992436, 49.01500280659411], [3.083619806212758, 49.00517992852977], [3.090025696686265, 49.01057046886116], [3.126596591359161, 49.012875371996174], [3.129889109129023, 49.00664043504143], [3.127158638085069, 48.99677012587309]]]}";36276;460;15;1;77;11
78643;78540;VERNOUILLET;YVELINES;ILE-DE-FRANCE;Commune simple;67.0;672.0;9.4;48.9655697167, 1.97530302109;"{""type"": ""Polygon"", ""coordinates"": [[[1.969467129171757, 48.94611610113404], [1.955721495649821, 48.95682497439127], [1.953586536219516, 48.96994530550846], [1.968309048224792, 48.97145778469345], [1.993307513716799, 48.98342398993008], [1.99797469335472, 48.97379567151682], [1.99615124748278, 48.9670626563941], [1.979300104064231, 48.9585118823403], [1.969467129171757, 48.94611610113404]]]}";16093;643;25;3;78;11
91222;91660;ESTOUCHES;ESSONNE;ILE-DE-FRANCE;Commune simple;134.0;597.0;0.2;48.3069780775, 2.13261118075;"{""type"": ""Polygon"", ""coordinates"": [[[2.110599785181183, 48.29694895146957], [2.113716853702258, 48.30724786045628], [2.11876592312506, 48.323895380677875], [2.131374915156194, 48.323430702844455], [2.12679502833154, 48.31729657687189], [2.153877533680555, 48.3084055571134], [2.161900339024218, 48.30262309879973], [2.161589346735701, 48.29843692787256], [2.110599785181183, 48.29694895146957]]]}";29297;222;17;1;91;11
78124;78420;CARRIERES-SUR-SEINE;YVELINES;ILE-DE-FRANCE;Commune simple;40.0;508.0;15.2;48.9119335064, 2.17838235323;"{""type"": ""Polygon"", ""coordinates"": [[[2.174275675157644, 48.899066831513004], [2.161350443110867, 48.90799733182186], [2.160838791629611, 48.920269529514734], [2.167902216751399, 48.926578032577964], [2.180340270894602, 48.91674430186518], [2.199191190256299, 48.918967197714586], [2.200591009269503, 48.908679329890454], [2.174275675157644, 48.899066831513004]]]}";17292;124;09;3;78;11
